Unnamed: 0,day,has_5,km8_id,cuadricula_id,area_id,profile,point_id,lng,lat,formatted_address,location_type,applicant_id,user,legal_guardian_id,email,$identify,click_dashboard_menu,click_reg_user-log-in_log-in-button,click_school_pin,close_school_profile,favorite_school_from_list,favorite_school_from_listFavorites,login,map_filter_click,map_grade_click,menu_explore,menu_favorites,open_school_profile,open_school_profile3,outside_close_school_profile,remove_favorite_school_from_list,remove_favorite_school_from_listFavorites,sp_school_leadership,sp_school_performance,sp_school_photo,sp_school_price,sp_school_programs,sp_school_students
0,1,1,133,8,32,4,626,-74.129514,4.469128,"Cl. 139 Sur #14-74, Bogotá, Colombia",ROOFTOP,234120,a079fec2-0742-4045-852e-8cd3cff70598,209922,users_produccion_jardines1@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,134,9,35,1,681,-74.1218642,4.4689818,"Cl. 137 Sur #1-84, Bogotá, Colombia",RANGE_INTERPOLATED,234121,574fb9b4-6b01-4256-9d91-6a1f55c68c5e,209923,users_produccion_jardines2@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,135,10,40,1,788,-74.0837951,4.4742343,"Antigua Vía Al Llano #2, Bogotá, Colombia",ROOFTOP,234122,8e0c8da6-1034-4b93-bcdb-ba840c0fe7a7,209924,users_produccion_jardines3@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,136,11,44,2,867,-74.0789732,4.4738434,"Cra. 24b Este #137a Sur-38, Bogotá, Colombia",RANGE_INTERPOLATED,234123,2b276f21-f6eb-4a76-a3f2-3730227e5be1,209925,users_produccion_jardines4@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,138,13,52,1,1021,-74.2719967,4.4914648,"Calle 6 #6-17, Sibaté, Cundinamarca, Colombia",ROOFTOP,234124,73b0e1e6-2204-4b65-8bab-eb44620e58b8,209926,users_produccion_jardines5@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,139,14,55,3,1088,-74.2666594,4.4849304,"Cra. 8 #4-1, Sibaté, Cundinamarca, Colombia",ROOFTOP,234125,342b342d-93eb-469e-9c05-6ead7ae870b2,209927,users_produccion_jardines6@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,142,17,66,1,1304,-74.1303987,4.4723768,"Cl. 139 Sur #3c40, Bogotá, Colombia",ROOFTOP,234126,70fa230c-3ac3-47bf-a306-1b0dcf9785f0,209928,users_produccion_jardines7@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,143,18,71,1,1403,-74.12058,4.4834889,"Av Caracas # 118-26, Usme, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia",ROOFTOP,234127,146e8e45-e7c7-4c72-9c0f-aa482c8007f6,209929,users_produccion_jardines8@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,144,19,74,4,1477,-74.0973277,4.4762598,"Dg. 119a Sur #7c Este-73, Bogotá, Colombia",RANGE_INTERPOLATED,234128,28351a00-32d8-4b23-ae5e-7e59464ebffc,209930,users_produccion_jardines9@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,147,22,86,3,1708,-74.2719967,4.4914648,"Calle 6 #6-17, Sibaté, Cundinamarca, Colombia",ROOFTOP,234129,a6eec3a0-df72-47ad-9601-d0237111b441,209931,users_produccion_jardines10@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,148,23,89,1,1765,-74.263009,4.496305,"Cl. 15 # 8BY-1, Sibaté, Cundinamarca, Colombia",ROOFTOP,234130,0bd32c6e-9fab-40aa-ae7d-864f1a0ec8ad,209932,users_produccion_jardines11@yopmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
